ImgID,Detector,Descriptor,DetectorTime(ms),DescriptorTime(ms),VehicleKeypointsCount,VehicleKeypoints/TotalKeypoints(%),MatchedVehicleKeypointsCount,,TotalTime,
0,SHITOMASI,BRIEF,19.8462,0.678827,125,9.12409,0,,20.525,
1,SHITOMASI,BRIEF,17.3905,1.3402,118,9.06995,115,,18.7307,
2,SHITOMASI,BRIEF,16.4802,1.32217,123,9.03747,111,,17.8024,
3,SHITOMASI,BRIEF,15.4592,1.24688,120,8.83652,104,,16.706,
4,SHITOMASI,BRIEF,15.6695,1.27204,120,9.00225,101,,16.9415,
5,SHITOMASI,BRIEF,15.72,1.25103,113,8.80062,102,,16.971,
6,SHITOMASI,BRIEF,15.4857,1.23649,114,8.6233,102,,16.7222,
7,SHITOMASI,BRIEF,15.7863,1.4488,123,9.00439,100,,17.2351,
8,SHITOMASI,BRIEF,15.9716,1.3072,111,7.99136,109,,17.2788,
9,SHITOMASI,BRIEF,15.4924,1.23146,112,8.36445,100,,16.7238,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,SHITOMASI,ORB,14.8172,1.24145,125,9.12409,0,,16.0587,
1,SHITOMASI,ORB,17.9406,1.05718,118,9.06995,106,,18.9978,
2,SHITOMASI,ORB,16.4869,1.17016,123,9.03747,102,,17.657,
3,SHITOMASI,ORB,16.5828,0.977758,120,8.83652,99,,17.5606,
4,SHITOMASI,ORB,16.1114,1.18804,120,9.00225,102,,17.2994,
5,SHITOMASI,ORB,15.7744,1.08969,113,8.80062,103,,16.8641,
6,SHITOMASI,ORB,16.2025,0.966856,114,8.6233,97,,17.1694,
7,SHITOMASI,ORB,16.2371,0.958854,123,9.00439,98,,17.196,
8,SHITOMASI,ORB,18.6362,1.2227,111,7.99136,104,,19.8589,
9,SHITOMASI,ORB,17.3921,1.10127,112,8.36445,97,,18.4934,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,SHITOMASI,FREAK,15.1687,45.2513,125,9.12409,0,,60.4199,
1,SHITOMASI,FREAK,17.2717,40.395,118,9.06995,86,,57.6667,
2,SHITOMASI,FREAK,13.6202,40.8915,123,9.03747,90,,54.5117,
3,SHITOMASI,FREAK,11.8243,38.8259,120,8.83652,86,,50.6502,
4,SHITOMASI,FREAK,12.1851,40.8307,120,9.00225,88,,53.0158,
5,SHITOMASI,FREAK,13.2753,40.7921,113,8.80062,86,,54.0675,
6,SHITOMASI,FREAK,11.5515,39.2092,114,8.6233,80,,50.7607,
7,SHITOMASI,FREAK,11.4929,41.0336,123,9.00439,81,,52.5266,
8,SHITOMASI,FREAK,11.5757,39.9083,111,7.99136,86,,51.484,
9,SHITOMASI,FREAK,12.0854,42.4117,112,8.36445,85,,54.4971,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,SHITOMASI,SIFT,12.2013,17.7131,125,9.12409,0,,29.9144,
1,SHITOMASI,SIFT,12.2127,15.6095,118,9.06995,112,,27.8221,
2,SHITOMASI,SIFT,11.4861,14.6356,123,9.03747,109,,26.1217,
3,SHITOMASI,SIFT,11.4087,15.9352,120,8.83652,104,,27.3438,
4,SHITOMASI,SIFT,11.582,14.4992,120,9.00225,103,,26.0812,
5,SHITOMASI,SIFT,11.5068,15.0787,113,8.80062,99,,26.5855,
6,SHITOMASI,SIFT,11.2675,14.9223,114,8.6233,101,,26.1898,
7,SHITOMASI,SIFT,15.9561,15.6891,123,9.00439,96,,31.6452,
8,SHITOMASI,SIFT,12.8908,15.2889,111,7.99136,106,,28.1798,
9,SHITOMASI,SIFT,11.3236,16.7867,112,8.36445,97,,28.1103,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,HARRIS,BRIEF,3.37632,0.430736,17,14.7826,0,,3.80706,
1,HARRIS,BRIEF,2.53645,0.338911,14,14.2857,14,,2.87536,
2,HARRIS,BRIEF,3.03869,0.367021,19,16.6667,11,,3.40571,
3,HARRIS,BRIEF,3.28131,0.421929,21,17.3554,16,,3.70323,
4,HARRIS,BRIEF,4.32201,0.317092,26,16.1491,20,,4.6391,
5,HARRIS,BRIEF,31.0868,0.415473,42,10.7692,24,,31.5022,
6,HARRIS,BRIEF,2.32134,0.368905,18,20.9302,26,,2.69024,
